Year;Kidney_DD;Kidney_LD;Heart;Liver_DD;Kindey_Pancreas;Lung_LD;Lung_DD;Liver_LD;Liver_Kidney;Heart_Lung;Intestine;Heart_Kidney;Pancreas;Heart_Liver;Lung_Liver;Kidney_Lung;Liver_Pancreas
2011;998;40;80;278;33;-;15;18;4;-;-;-;1;-;-;-;-
2012;1091;51;79;309;34;-;16;14;3;-;-;-;9;-;-;-;-
2013;1074;57;87;316;29;-;17;18;2;-;-;-;3;-;-;-;-
2014;1065;55;76;335;28;-;19;30;1;-;-;-;9;-;-;-;-
2015;951;60;99;304;29;-;24;22;6;-;-;-;12;-;-;-;-
2016;975;50;101;314;31;-;35;28;3;-;-;-;7;-;-;-;-
2017;999;56;97;345;30;-;39;24;4;-;-;1;11;-;-;-;-
2018;881;40;145;288;19;-;43;22;5;-;-;1;1;1;-;-;-
2019;902;52;142;321;24;-;57;21;5;-;-;-;5;4;1;-;-
2020;714;31;145;260;3;-;51;28;3;-;-;-;1;-;-;-;-
2021;705;44;200;273;17;-;67;20;3;-;-;-;2;-;-;1;1
2022;777;73;171;329;18;-;92;28;5;1;-;1;-;-;-;-;-
2023;963;78;175;502;24;-;97;27;5;1;-;4;4;2;-;1;-
